name,address,latitude,longitude,technicalPlatform,level,establishmentType,establishmentCode,services
FSU COMMUNAUTAIRE de AKEIKOUA,,5.46078,-4.01089,,CENTRE_SANTE,PUBLIQUE,0765,
CMS CONFESSIONNEL Ange Gardien de ABOBO,,5.451199999,-4.0233,,CENTRE_SANTE,CONFESSIONNEL,1983,
CMS PRIVE ONG ACID,,5.4375,-4.0315,,CENTRE_SANTE,PRIVE,9500,
CENTRE MEDICAL ROTARY,,5.429633324,-4.012498088,,CENTRE_SANTE,PRIVE,2820,
Centre Education Sanitaire (CES) CONFESSIONNEL de ABOBO CLOUETCHA,,5.42438,-3.99904,,CENTRE_SANTE,CONFESSIONNEL,1317,
CENTRE MEDICAL ESPERANCE,,5.4496,-4.011,,CENTRE_SANTE,PRIVE,,
CENTRE MEDICAL ST PAUL,,5.42148338,-4.01408588,,CENTRE_SANTE,PRIVE,2465,
CLINIQUE MEDICO-CHIRURGICALE D`ABOBO,,5.43994026,-4.02274825,,CLINIQUE_PRIVEE,PRIVE,2464,
CMS PRIVE GRAND CENTRE MEDICAL (ROUTE DE AKEIKOI),,5.44482,-4.01373,,CENTRE_SANTE,PRIVE,9727,
CMS PRIVE ONG COMUPSAC,,5.425910021,-4.009897959,,CENTRE_SANTE,PRIVE,9505,
CMS PRIVE ONG BAYEWA d' ABOBO EST,,5.4474,-4.0144,,CENTRE_SANTE,PRIVE,9852,
CMS PRIVE ONG MATERNITE POUR TOUS,,5.43067,-4.01895,,CENTRE_SANTE,PRIVE,9501,
CMS PRIVE ONG MATERNITE VIE AMOUR,,5.43243119,-4.00573282,,CENTRE_SANTE,PRIVE,9502,
CSU-D PUBLIC SOS VILLAGE ENFANTS de ABOBO EST,,5.43111,-4.01759,,CENTRE_SANTE,PUBLIQUE,7408,
CSU-DM COMMUNAUTAIRE de ABOBO BANCO-SUD,,5.40933,-4.00987,,CENTRE_SANTE,PUBLIQUE,0446,
CSU-DM COMMUNAUTAIRE de ABOBO BC,,5.44487,-4.01726,,CENTRE_SANTE,PUBLIQUE,0504,
CSU-DM COMMUNAUTAIRE de ABOBO KENNEDY CLOUETCHA,,5.4236148,-4.0005712,,CENTRE_SANTE,PUBLIQUE,0420,
CSU-DM COMMUNAUTAIRE de ABOBO-TE,,5.41238,-3.99522,,CENTRE_SANTE,PUBLIQUE,0563,
CSU-DM PUBLIC de DJIBI VILLAGE,,5.458699999,-3.9758,,CENTRE_SANTE,PUBLIQUE,1031,
CSUS-CAT PUBLIC de ABOBO SOGEFIHA,,5.438100001,-4.014,,CENTRE_SANTE,PUBLIQUE,1475,
CSUS-CDV PRIVE Lumiere Action de ABOBO,,5.43685,-4.01572,,CENTRE_SANTE,PRIVE,7024,
CSUS-SSSU1 PUBLIC de ABOBO-SOGEFIHA,,5.4370111,-4.0158579,,CENTRE_SANTE,PUBLIQUE,'0061,
CSUS-SSSU2 PUBLIC de ABOBO CENTRE,,5.428200001,-4.0124,,CENTRE_SANTE,PUBLIQUE,2730,
FSU COMMUNAUTAIRE de ABOBO AVOCATIER,,5.436799999,-4.0154,,CENTRE_SANTE,PUBLIQUE,0747,
FSU COMMUNAUTAURE de ABOBO BAOULE,,5.42264,-3.9896,,CENTRE_SANTE,PUBLIQUE,0056,
FSU PUBLIC Centre Education de ABOBO-TE,,5.41454,-4.00019,,CENTRE_SANTE,PUBLIQUE,2344,
GRANDE CLINIQUE du DOKUI,,5.40521,-4.00656,,CLINIQUE_PRIVEE,PRIVE,1809,
HG PUBLIC Houphouet Boigny de ABOBO (ABOBO NORD),,5.44293,-4.00819,,CH,PUBLIQUE,0064,
INF-LC PUBLIC Lycée Moderne de ABOBO,,5.428487,-4.012723,,CENTRE_SANTE,PUBLIQUE,2341,
INF-PUBLIC CAMP COMMANDO ABOBO,,5.43444751,-4.01897604,,CENTRE_SANTE,PUBLIQUE,2374,
